timestamp,artist_name,url,profile_image,followers,total_plays,monthly_listeners,member_since,tracks_found
2026-07-21 05:25:55,SIO,https://audiomack.com/vibeking-sio,https://i.audiomack.com/vibeking-sio/7ea34cbb44.webp?width=400,3710000,3710000,N/A,N/A,7
2026-07-21 05:26:33,Nahj,https://audiomack.com/nahj,https://i.audiomack.com/nahj_/b58976d0d8.webp?width=400,6240000,6240000,N/A,N/A,8
2026-07-21 05:27:15,Spize,https://audiomack.com/spizeofficial,https://i.audiomack.com/spizeofficial/6b20a7267c.webp?width=400,4580000,4580000,N/A,N/A,9
2026-07-21 05:27:59,Will Flash,https://audiomack.com/will-flash,https://i.audiomack.com/will-flash/0868698ca9.webp?width=400,6450000,6450000,N/A,N/A,18
2026-07-21 05:29:16,STUNN,https://audiomack.com/stunn,https://i.audiomack.com/stunn/2c2978d1bb.webp?width=400,4059999,4059999,N/A,N/A,31
2026-07-21 05:31:14,Larry G,https://audiomack.com/elvissaywon226,https://i.audiomack.com/elvissaywon226/e23c595493.webp?width=400,3730000,3730000,N/A,N/A,5
2026-07-21 05:31:45,Fluxii,https://audiomack.com/fluxiimusic,https://i.audiomack.com/fluxiimusic/cce4690c7b.webp?width=400,3480000,3480000,N/A,N/A,12
2026-07-21 05:32:42,Teddyride,https://audiomack.com/teddyride,https://i.audiomack.com/teddyride/6d628ac3c3.webp?width=400,7750000,7750000,N/A,N/A,33
2026-07-21 05:34:47,Jaredo,https://audiomack.com/Jaredo,https://i.audiomack.com/Jaredo/5536a7636e.webp?width=400,3570000,3570000,N/A,N/A,12
2026-07-21 05:35:46,King Dennis,https://audiomack.com/troublecoming,https://i.audiomack.com/troublecoming/1c4d8d43b0.webp?width=400,13200000,13200000,N/A,N/A,55
2026-07-21 05:39:08,JZyNo,https://audiomack.com/jzyno,https://i.audiomack.com/jzyno/478087521f.webp?width=400,93300000,93300000,N/A,N/A,38
2026-07-21 05:41:34,C.I.C,https://audiomack.com/cralorboi_cic,https://i.audiomack.com/cralorboi_cic/451dbbdc56.webp?width=400,13300000,13300000,N/A,N/A,36
2026-07-21 05:43:59,MC CARO,https://audiomack.com/mccaro,https://i.audiomack.com/mccaro/88f778ad4b.webp?width=400,13300000,13300000,N/A,N/A,89
2026-07-21 05:49:16,JBoy De Prophet,https://audiomack.com/jboydeprophet-1,https://i.audiomack.com/jboydeprophet-1/608c051971.webp?width=400,5560000,5560000,N/A,N/A,42
2026-07-21 05:52:00,Christoph The Change,https://audiomack.com/christoph-the-change,https://i.audiomack.com/christoph-the-change/1fb9825b01.webp?width=400,10300000,10300000,N/A,N/A,63
2026-07-21 05:55:45,Brickson,https://audiomack.com/brickson_,https://i.audiomack.com/brickson_/67e50df196.webp?width=400,5330000,5330000,N/A,N/A,15
2026-07-21 05:56:56,Barsee Mocopala Kiloda,https://audiomack.com/barsee-mocopala-kiloda,https://i.audiomack.com/barsee-mocopala-kiloda/58f33b03a1.webp?width=400,7300000,7300000,N/A,N/A,63
2026-07-21 06:00:44,Mr. Church,https://audiomack.com/mr-church1,https://i.audiomack.com/mr-church1/d012ddf240.webp?width=400,1410000,1410000,N/A,N/A,37
2026-07-21 06:03:03,Natif,https://audiomack.com/natif,https://i.audiomack.com/natif/5d21fd2848.webp?width=400,2029999,2029999,N/A,N/A,31
2026-07-21 06:05:00,Lil More,https://audiomack.com/LilMore,https://i.audiomack.com/LilMore/39c8cabf9d.webp?width=400,4810000,4810000,N/A,N/A,17
2026-07-21 06:06:11,Writerman Willy,https://audiomack.com/writerman_willy,https://i.audiomack.com/writerman_willy/e517c23d96.webp?width=400,793000,793000,N/A,N/A,19
2026-07-21 06:07:32,Kpanto,https://audiomack.com/kpanto_,https://i.audiomack.com/kpanto_/89c8e6a0fb.webp?width=400,5940000,5940000,N/A,N/A,59
2026-07-21 06:11:06,Boifatty,https://audiomack.com/boifattyofficial,https://i.audiomack.com/boifattyofficial/a71e6ba5cf.webp?width=400,2220000,2220000,N/A,N/A,43
2026-07-21 06:13:46,Bucky Raw,https://audiomack.com/buckyraw,https://i.audiomack.com/buckyraw-1/7561b00e22.webp?width=400,4290000,4290000,N/A,N/A,29
2026-07-21 06:15:38,KOBAZZIE,https://audiomack.com/kobazziee,https://i.audiomack.com/kobazziee/6d17a93a68.webp?width=400,3570000,3570000,N/A,N/A,16
2026-07-21 06:16:51,J Slught,https://audiomack.com/jslughtofficial,https://i.audiomack.com/jslughtofficial/d28f984be2.webp?width=400,6190000,6190000,N/A,N/A,36
2026-07-21 06:19:07,J Rap,https://audiomack.com/j-rap-,https://i.audiomack.com/jrappneckc/a27ed71b62.webp?width=400,2200000,2200000,N/A,N/A,14
2026-07-21 06:20:11,Nuchie Meek,https://audiomack.com/nuchie-meek-,https://i.audiomack.com/nuchie-meek-/8cec6330e5.webp?width=400,9760000,9760000,N/A,N/A,36
2026-07-21 06:22:27,KELLz,https://audiomack.com/KELLz,https://i.audiomack.com/KELLz_Lib/a6c781839a.webp?width=400,700000,700000,N/A,N/A,7
2026-07-21 06:23:07,Fazari,https://audiomack.com/Fazari,https://i.audiomack.com/Fazari/d28125e057.webp?width=400,5500000,5500000,N/A,N/A,39
