timestamp,artist_name,url,profile_image,followers,total_plays,monthly_listeners,member_since,tracks_found
2026-08-17 03:04:41,SIO,https://audiomack.com/vibeking-sio,https://i.audiomack.com/vibeking-sio/7ea34cbb44.webp?width=400,3910000,3910000,N/A,N/A,8
2026-08-17 03:05:30,Nahj,https://audiomack.com/nahj,https://i.audiomack.com/nahj/292c0b233e.webp?width=400,7330000,7330000,N/A,N/A,9
2026-08-17 03:06:21,Spize,https://audiomack.com/spizeofficial,https://i.audiomack.com/spizeofficial/6b20a7267c.webp?width=400,5200000,5200000,N/A,N/A,9
2026-08-17 03:07:13,Will Flash,https://audiomack.com/will-flash,https://i.audiomack.com/will-flash/0868698ca9.webp?width=400,6590000,6590000,N/A,N/A,18
2026-08-17 03:08:40,STUNN,https://audiomack.com/stunn,https://i.audiomack.com/stunn/2c2978d1bb.webp?width=400,4220000,4220000,N/A,N/A,31
2026-08-17 03:10:50,Larry G,https://audiomack.com/elvissaywon226,https://i.audiomack.com/elvissaywon226/e23c595493.webp?width=400,3930000,3930000,N/A,N/A,5
2026-08-17 03:11:25,Fluxii,https://audiomack.com/fluxiimusic,https://i.audiomack.com/fluxiimusic/cce4690c7b.webp?width=400,3760000,3760000,N/A,N/A,13
2026-08-17 03:12:32,Teddyride,https://audiomack.com/teddyride,https://i.audiomack.com/teddyride/6d628ac3c3.webp?width=400,7830000,7830000,N/A,N/A,33
2026-08-17 03:14:52,Jaredo,https://audiomack.com/Jaredo,https://i.audiomack.com/Jaredo/5536a7636e.webp?width=400,3680000,3680000,N/A,N/A,12
2026-08-17 03:15:57,King Dennis,https://audiomack.com/troublecoming,https://i.audiomack.com/troublecoming/1c4d8d43b0.webp?width=400,13600000,13600000,N/A,N/A,55
2026-08-17 03:20:21,JZyNo,https://audiomack.com/jzyno,https://i.audiomack.com/jzyno/478087521f.webp?width=400,93900000,93900000,N/A,N/A,38
2026-08-17 03:22:59,C.I.C,https://audiomack.com/cralorboi_cic,https://i.audiomack.com/cralorboi_cic/451dbbdc56.webp?width=400,14100000,14100000,N/A,N/A,37
2026-08-17 03:25:34,MC CARO,https://audiomack.com/mccaro,https://i.audiomack.com/mccaro/88f778ad4b.webp?width=400,13800000,13800000,N/A,N/A,94
2026-08-17 03:31:15,JBoy De Prophet,https://audiomack.com/jboydeprophet-1,https://i.audiomack.com/jboydeprophet-1/608c051971.webp?width=400,5740000,5740000,N/A,N/A,42
2026-08-17 03:34:01,Christoph The Change,https://audiomack.com/christoph-the-change,https://i.audiomack.com/christoph-the-change/1fb9825b01.webp?width=400,10600000,10600000,N/A,N/A,63
2026-08-17 03:37:54,Brickson,https://audiomack.com/brickson_,https://i.audiomack.com/brickson_/67e50df196.webp?width=400,5460000,5460000,N/A,N/A,15
2026-08-17 03:39:06,Barsee Mocopala Kiloda,https://audiomack.com/barsee-mocopala-kiloda,https://i.audiomack.com/barsee-mocopala-kiloda/58f33b03a1.webp?width=400,7470000,7470000,N/A,N/A,63
2026-08-17 03:42:58,Mr. Church,https://audiomack.com/mr-church1,https://i.audiomack.com/mr-church1/d012ddf240.webp?width=400,1450000,1450000,N/A,N/A,37
2026-08-17 03:45:20,Natif,https://audiomack.com/natif,https://i.audiomack.com/natif/5d21fd2848.webp?width=400,2060000,2060000,N/A,N/A,32
2026-08-17 03:47:22,Lil More,https://audiomack.com/LilMore,https://i.audiomack.com/LilMore/39c8cabf9d.webp?width=400,3500000,3500000,N/A,N/A,15
2026-08-17 03:48:27,Writerman Willy,https://audiomack.com/writerman_willy,https://i.audiomack.com/writerman_willy/e517c23d96.webp?width=400,798000,798000,N/A,N/A,19
2026-08-17 03:49:52,Kpanto,https://audiomack.com/kpanto_,https://i.audiomack.com/kpanto_/89c8e6a0fb.webp?width=400,5990000,5990000,N/A,N/A,59
2026-08-17 03:53:32,Boifatty,https://audiomack.com/boifattyofficial,https://i.audiomack.com/boifattyofficial/a71e6ba5cf.webp?width=400,2240000,2240000,N/A,N/A,43
2026-08-17 03:56:14,Bucky Raw,https://audiomack.com/buckyraw,https://i.audiomack.com/buckyraw-1/7561b00e22.webp?width=400,4490000,4490000,N/A,N/A,29
2026-08-17 03:58:09,KOBAZZIE,https://audiomack.com/kobazziee,https://i.audiomack.com/kobazziee/6d17a93a68.webp?width=400,3590000,3590000,N/A,N/A,16
2026-08-17 03:59:22,J Slught,https://audiomack.com/jslughtofficial,https://i.audiomack.com/jslughtofficial/94bf8b6d6e.webp?width=400,6940000,6940000,N/A,N/A,37
2026-08-17 04:01:43,J Rap,https://audiomack.com/j-rap-,https://i.audiomack.com/jrappneckc/a27ed71b62.webp?width=400,2270000,2270000,N/A,N/A,15
2026-08-17 04:02:51,Nuchie Meek,https://audiomack.com/nuchie-meek-,https://i.audiomack.com/nuchie-meek-/8cec6330e5.webp?width=400,9950000,9950000,N/A,N/A,36
2026-08-17 04:05:19,KELLz,https://audiomack.com/KELLz,https://i.audiomack.com/KELLz_Lib/a6c781839a.webp?width=400,703000,703000,N/A,N/A,7
2026-08-17 04:05:59,Fazari,https://audiomack.com/Fazari,https://i.audiomack.com/Fazari/d28125e057.webp?width=400,5590000,5590000,N/A,N/A,40
