timestamp,artist_name,url,profile_image,followers,total_plays,monthly_listeners,member_since,tracks_found
2025-11-22 03:09:13,SIO,https://audiomack.com/vibeking-sio,https://i.audiomack.com/vibeking-sio/7ea34cbb44.webp?width=400,147000,4560000,76400,"Oct 30, 2020",6
2025-11-22 03:09:58,Nahj,https://audiomack.com/nahj,https://i.audiomack.com/nahj_/b58976d0d8.webp?width=400,25700,4220000,189000,"Dec 27, 2019",7
2025-11-22 03:10:45,Spize,https://audiomack.com/spizeofficial,https://i.audiomack.com/spizeofficial/cb9735d703.webp?width=400,65400,2420000,43600,"Oct 20, 2021",4
2025-11-22 03:11:23,Will Flash,https://audiomack.com/will-flash,https://i.audiomack.com/will-flash/d3fa51159a.webp?width=400,63900,3800000,96000,"Dec 1, 2023",10
2025-11-22 03:12:25,STUNN,https://audiomack.com/stunn,https://i.audiomack.com/stunn/f9e26519d1.webp?width=400,62200,2800000,22600,"Nov 25, 2019",29
2025-11-22 03:14:26,Larry G,https://audiomack.com/elvissaywon226,https://i.audiomack.com/elvissaywon226/e86080d869.webp?width=400,43800,1450000,150000,"Oct 17, 2020",4
2025-11-22 03:15:03,Fluxii,https://audiomack.com/fluxiimusic,https://i.audiomack.com/fluxiimusic/4fd9aa58b0.webp?width=400,58500,2480000,39900,"Aug 10, 2023",10
2025-11-22 03:16:05,Teddyride,https://audiomack.com/teddyride,https://i.audiomack.com/teddyride/278176366b.webp?width=400,125000,6120000,64900,"Oct 21, 2019",30
2025-11-22 03:18:12,Jaredo,https://audiomack.com/Jaredo,https://i.audiomack.com/Jaredo/5536a7636e.webp?width=400,62400,2390000,56200,"Aug 27, 2021",12
2025-11-22 03:19:25,King Dennis,https://audiomack.com/troublecoming,https://i.audiomack.com/kingdennis/be8429c880.webp?width=400,170000,8830000,118000,"Jul 2, 2020",49
2025-11-22 03:22:43,JZyNo,https://audiomack.com/jzyno,https://i.audiomack.com/jzyno/7feb6e989a.webp?width=400,485000,86400000,459000,"Jul 18, 2017",37
2025-11-22 03:25:20,C.I.C,https://audiomack.com/cralorboi_cic,https://i.audiomack.com/cralorboi_cic/451dbbdc56.webp?width=400,205000,11600000,92700,"May 21, 2019",36
2025-11-22 03:28:08,MC CARO,https://audiomack.com/mccaro,https://i.audiomack.com/mccaro/88f778ad4b.webp?width=400,205000,10800000,69900,"May 25, 2019",83
2025-11-22 03:33:32,JBoy De Prophet,https://audiomack.com/jboydeprophet-1,https://i.audiomack.com/jboydeprophet-1/608c051971.webp?width=400,94400,3380000,82200,"Jan 12, 2024",26
2025-11-22 03:35:46,Christoph The Change,https://audiomack.com/christoph-the-change,https://i.audiomack.com/christoph-the-change/1fb9825b01.webp?width=400,150000,6340000,127000,"Jun 16, 2020",62
2025-11-22 03:40:07,Brickson,https://audiomack.com/brickson_,https://i.audiomack.com/brickson_/768a6c34c5.webp?width=400,75300,3060000,102000,"Feb 6, 2021",13
2025-11-22 03:41:33,Barsee Mocopala Kiloda,https://audiomack.com/barsee-mocopala-kiloda,https://i.audiomack.com/barsee-mocopala-kiloda/58f33b03a1.webp?width=400,101000,4420000,89200,"Mar 9, 2019",56
2025-11-22 03:45:54,Mr. Church,https://audiomack.com/mr-church1,https://i.audiomack.com/mr-church1/fc867a1e71.webp?width=400,30900,903000,5570,"Jan 13, 2021",24
2025-11-22 03:48:01,Natif,https://audiomack.com/natif,https://i.audiomack.com/natif/5d21fd2848.webp?width=400,42700,1670000,35900,"Jul 2, 2023",29
2025-11-22 03:50:04,Lil More,https://audiomack.com/LilMore,https://i.audiomack.com/LilMore/9b18429b7f.webp?width=400,98500,3500000,98600,"Apr 17, 2023",15
2025-11-22 03:51:21,Writerman Willy,https://audiomack.com/writerman_willy,https://i.audiomack.com/writerman_willy/ec6e7433aa.webp?width=400,13100,671000,16400,"Jul 28, 2019",16
2025-11-22 03:52:50,Kpanto,https://audiomack.com/kpanto_,https://i.audiomack.com/kpanto_/89c8e6a0fb.webp?width=400,87200,5480000,12300,"Feb 10, 2020",59
2025-11-22 03:56:42,Boifatty,https://audiomack.com/boifattyofficial,https://i.audiomack.com/boifattyofficial/a71e6ba5cf.webp?width=400,49300,1770000,22800,"Apr 29, 2019",36
2025-11-22 03:59:14,Bucky Raw,https://audiomack.com/buckyraw,https://i.audiomack.com/buckyraw-1/7561b00e22.webp?width=400,58500,2260000,18100,"Jun 18, 2020",23
2025-11-22 04:00:59,KOBAZZIE,https://audiomack.com/kobazziee,https://i.audiomack.com/kobazziee/6d17a93a68.webp?width=400,86700,3310000,21100,"Aug 4, 2020",15
2025-11-22 04:02:24,J Slught,https://audiomack.com/jslughtofficial,https://i.audiomack.com/jslughtofficial/8076147772.webp?width=400,109000,5480000,32299,"Aug 31, 2019",41
2025-11-22 04:05:12,J Rap,https://audiomack.com/j-rap-,https://i.audiomack.com/jrappneckc/a27ed71b62.webp?width=400,51600,1150000,30500,"Jun 17, 2024",13
2025-11-22 04:06:29,Nuchie Meek,https://audiomack.com/nuchie-meek-,https://i.audiomack.com/nuchie-meek-/8cec6330e5.webp?width=400,144000,7990000,65400,"Jan 21, 2020",33
2025-11-22 04:08:49,KELLz,https://audiomack.com/KELLz,https://i.audiomack.com/KELLz_Lib/a6c781839a.webp?width=400,10500,641000,11200,"Oct 27, 2023",7
2025-11-22 04:09:45,Fazari,https://audiomack.com/Fazari,https://i.audiomack.com/Fazari/d28125e057.webp?width=400,88900,4059999,115000,"May 31, 2019",37
